Workbook,Date,0,1,2,3,4,5
C:\Users\vuongns\Downloads\test_tcb\tcb20200102.csv,02/01/2020,TỶ GIÁ HỐI ĐOÁI,TỶ GIÁ HỐI ĐOÁI,TỶ GIÁ HỐI ĐOÁI,TỶ GIÁ HỐI ĐOÁI,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200102.csv,02/01/2020,,,,,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200102.csv,02/01/2020,Loại tiền,Tỷ giá mua,Tỷ giá mua,Tỷ giá bán,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200102.csv,02/01/2020,,Tiền mặt/séc,Chuyển khoản,,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200102.csv,02/01/2020,"USD, (1,2)",22573,,,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200102.csv,02/01/2020,(tỷ giá Đô la Mỹ),22573,,,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200102.csv,02/01/2020,"USD, (5,10,20)",22673,,,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200102.csv,02/01/2020,(tỷ giá Đô la Mỹ),22673,,,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200102.csv,02/01/2020,"USD,50-100",23093,23113,23233,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200102.csv,02/01/2020,(tỷ giá Đô la Mỹ),23093,23113,23233,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200102.csv,02/01/2020,JPY,209.71,210.95,216.95,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200102.csv,02/01/2020,(tỷ giá đồng Yên Nhật),209.71,210.95,216.95,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200102.csv,02/01/2020,AUD,15771,16014,16516,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200102.csv,02/01/2020,(tỷ giá Đô Úc),15771,16014,16516,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200102.csv,02/01/2020,CAD,17429,17647,18149,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200102.csv,02/01/2020,(tỷ giá Đô Canada),17429,17647,18149,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200102.csv,02/01/2020,GBP,30026,30366,30968,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200102.csv,02/01/2020,(tỷ giá Bảng Anh),30026,30366,30968,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200102.csv,02/01/2020,CHF,23477,23717,24219,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200102.csv,02/01/2020,(tỷ giá Franc Thụy Sĩ),23477,23717,24219,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200102.csv,02/01/2020,SGD,16887,17056,17457,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200102.csv,02/01/2020,(tỷ giá Đô Singapore),16887,17056,17457,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200102.csv,02/01/2020,EUR,25500,25808,26511,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200102.csv,02/01/2020,(tỷ giá Euro),25500,25808,26511,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200102.csv,02/01/2020,CNY,-,3269,3399,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200102.csv,02/01/2020,(tỷ giá Nhân dân tệ Trung Quốc),-,3269,3399,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200102.csv,02/01/2020,HKD,-,2845,3045,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200102.csv,02/01/2020,(tỷ giá Đô Hồng Kông),-,2845,3045,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200102.csv,02/01/2020,THB,738,744,884,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200102.csv,02/01/2020,(tỷ giá Bat Thái Lan),738,744,884,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200102.csv,02/01/2020,MYR,-,5596,5749,,
